customer_id,name,sex,state,age,is_married,active_since,event_time
C1,michelle miller,F,tennessee,52,False,2019-08-31 00:25:28,2024-07-14T04:30:40.905Z
C2,andrew mason,M,oregon,29,False,2017-05-12 12:03:15,2024-07-14T04:30:40.907Z
C3,james willis,M,mississippi,70,True,2018-05-23 05:25:08,2024-07-14T04:30:40.908Z
C4,jeffrey kelly,M,nevada,52,False,2017-03-01 17:03:34,2024-07-14T04:30:40.909Z
C5,matthew brown,M,kansas,31,True,2016-12-08 13:34:04,2024-07-14T04:30:40.911Z
C6,ashlee cooke,F,south carolina,22,True,2019-09-24 01:59:41,2024-07-14T04:30:40.913Z
C7,richard morgan,M,nevada,66,False,2018-02-20 08:10:56,2024-07-14T04:30:40.916Z
C8,brian williams,M,oklahoma,86,False,2016-02-13 00:39:56,2024-07-14T04:30:40.917Z
C9,peter hobbs,M,north carolina,89,False,2016-09-23 20:20:36,2024-07-14T04:30:40.918Z
C10,catherine perez,F,maryland,60,False,2017-07-27 13:23:04,2024-07-14T04:30:40.920Z
C11,amy horton,F,south carolina,61,True,2017-03-09 11:36:36,2024-07-14T04:30:40.922Z
C12,nicholas moore,M,nevada,24,False,2019-12-24 21:20:21,2024-07-14T04:30:40.923Z
C13,jerry hughes,M,south carolina,38,True,2019-11-17 11:42:56,2024-07-14T04:30:40.925Z
C14,jim paul,M,illinois,35,True,2019-03-15 17:41:08,2024-07-14T04:30:40.926Z
C15,mathew clark,M,new york,61,True,2017-05-08 01:19:36,2024-07-14T04:30:40.928Z
C16,nancy jimenez,F,maryland,89,True,2016-12-19 19:13:05,2024-07-14T04:30:40.930Z
C17,denise mason,F,kansas,60,False,2017-07-31 06:37:04,2024-07-14T04:30:40.931Z
C18,thomas sawyer,M,kansas,49,False,2019-10-21 11:00:51,2024-07-14T04:30:40.932Z
C19,dana shah,F,pennsylvania,38,False,2018-10-22 10:41:27,2024-07-14T04:30:40.934Z
C20,dr. terri stark,F,maine,18,True,2016-02-13 11:23:03,2024-07-14T04:30:40.935Z
C21,joshua diaz,M,minnesota,73,False,2017-09-12 00:42:41,2024-07-14T04:30:40.937Z
C22,cindy moore,F,missouri,29,True,2016-09-25 23:39:58,2024-07-14T04:30:40.938Z
C23,casey tucker dvm,M,west virginia,66,False,2017-07-02 23:02:35,2024-07-14T04:30:40.939Z
C24,madison taylor,F,new jersey,26,True,2019-04-08 03:22:51,2024-07-14T04:30:40.941Z
C25,paula brooks,F,south carolina,18,True,2017-12-26 06:54:44,2024-07-14T04:30:40.942Z
C26,michelle werner,F,illinois,58,False,2018-04-03 06:02:12,2024-07-14T04:30:40.943Z
C27,michael norman,M,maryland,75,True,2019-08-20 04:54:52,2024-07-14T04:30:40.944Z
C28,andrea vargas,F,california,31,True,2016-12-06 22:39:46,2024-07-14T04:30:40.946Z
C29,kristopher willis,M,wyoming,23,False,2019-06-26 11:08:45,2024-07-14T04:30:40.948Z
C30,scott pierce,M,kansas,29,True,2018-07-16 16:04:04,2024-07-14T04:30:40.949Z
C31,janet lewis,F,idaho,36,False,2017-01-05 09:38:41,2024-07-14T04:30:40.950Z
C32,peter baker jr.,M,maine,34,True,2016-04-23 07:41:22,2024-07-14T04:30:40.952Z
C33,jonathan hernandez,M,indiana,20,False,2017-12-20 11:44:59,2024-07-14T04:30:40.953Z
C34,amanda townsend,F,georgia,55,False,2018-09-13 07:25:12,2024-07-14T04:30:40.954Z
C35,jo mcbride,F,new york,73,True,2018-01-15 12:34:58,2024-07-14T04:30:40.956Z
C36,jeremy rodriguez,M,ohio,91,True,2016-01-08 13:08:46,2024-07-14T04:30:40.957Z
C37,jessica valdez,F,alaska,79,False,2018-11-30 09:34:32,2024-07-14T04:30:40.958Z
C38,john davenport,M,oklahoma,51,True,2019-12-11 10:45:33,2024-07-14T04:30:40.960Z
C39,ryan cobb,M,north carolina,78,True,2016-07-17 18:59:52,2024-07-14T04:30:40.961Z
C40,richard campbell,M,delaware,22,True,2017-09-15 03:27:06,2024-07-14T04:30:40.962Z
C41,jill meadows,F,illinois,57,True,2018-01-12 15:03:35,2024-07-14T04:30:40.964Z
C42,kylie turner,F,louisiana,61,True,2016-01-06 04:33:34,2024-07-14T04:30:40.965Z
C43,alexis kim,F,west virginia,84,True,2017-01-18 02:43:48,2024-07-14T04:30:40.966Z
C44,christopher farmer,M,kentucky,79,True,2017-11-20 08:53:56,2024-07-14T04:30:40.968Z
C45,tyler alvarez,M,missouri,44,False,2017-11-28 00:19:44,2024-07-14T04:30:40.969Z
C46,sharon kim,F,oregon,85,True,2016-07-19 09:23:45,2024-07-14T04:30:40.971Z
C47,brian gomez,M,mississippi,90,False,2018-11-08 09:45:25,2024-07-14T04:30:40.973Z
C48,tammy taylor,F,minnesota,58,True,2019-05-23 12:01:56,2024-07-14T04:30:40.974Z
C49,misty rivera,F,north dakota,19,False,2017-02-27 12:56:45,2024-07-14T04:30:40.976Z
C50,erin thompson,F,nebraska,68,True,2018-01-09 14:15:10,2024-07-14T04:30:40.977Z
C51,jonathan roberts,M,new york,83,True,2017-05-17 12:53:57,2024-07-14T04:30:40.979Z
C52,connor lowe,M,georgia,73,True,2016-03-25 16:46:32,2024-07-14T04:30:40.980Z
C53,audrey porter,F,new jersey,86,False,2016-07-24 06:19:20,2024-07-14T04:30:40.982Z
C54,nichole taylor,F,new jersey,80,True,2017-10-09 09:01:28,2024-07-14T04:30:40.983Z
C55,scott montoya,M,indiana,84,False,2019-12-11 10:38:16,2024-07-14T04:30:40.984Z
C56,john willis,M,montana,71,True,2019-05-04 23:12:51,2024-07-14T04:30:40.985Z
C57,natasha lawrence,F,south dakota,65,True,2016-10-08 11:26:05,2024-07-14T04:30:40.987Z
C58,diamond smith,F,mississippi,83,False,2017-12-27 21:14:52,2024-07-14T04:30:40.989Z
C59,brian morris,M,new mexico,22,True,2017-12-28 13:42:27,2024-07-14T04:30:40.990Z
C60,craig wells,M,idaho,41,True,2019-09-28 15:36:41,2024-07-14T04:30:40.992Z
C61,jose flowers,M,maryland,28,False,2016-08-20 04:17:57,2024-07-14T04:30:40.993Z
C62,michael cline,M,connecticut,80,True,2018-01-11 07:35:37,2024-07-14T04:30:40.995Z
C63,andrew ward,M,tennessee,51,True,2016-03-31 06:30:41,2024-07-14T04:30:40.996Z
C64,amanda williams,F,missouri,39,True,2018-02-01 09:21:19,2024-07-14T04:30:40.997Z
C65,brian elliott,M,new york,60,False,2016-05-09 03:35:10,2024-07-14T04:30:40.999Z
C66,david smith,M,nevada,61,True,2017-12-04 03:42:50,2024-07-14T04:30:41.000Z
C67,thomas daniels,M,wyoming,88,False,2018-06-10 01:44:27,2024-07-14T04:30:41.002Z
C68,kyle mills,M,colorado,68,False,2019-01-11 12:25:54,2024-07-14T04:30:41.003Z
C69,david acevedo,M,west virginia,27,False,2019-12-28 06:14:07,2024-07-14T04:30:41.004Z
C70,melanie shaw,F,minnesota,76,False,2016-05-07 23:46:45,2024-07-14T04:30:41.006Z
C71,mary christensen,F,iowa,67,True,2016-08-11 18:02:54,2024-07-14T04:30:41.007Z
C72,kevin miller,M,connecticut,91,True,2018-09-15 08:24:16,2024-07-14T04:30:41.009Z
C73,lauren nguyen,F,alaska,61,False,2016-04-26 02:03:10,2024-07-14T04:30:41.010Z
C74,antonio moore,M,pennsylvania,20,True,2018-04-23 01:49:11,2024-07-14T04:30:41.011Z
C75,leslie mcdonald,F,pennsylvania,42,False,2016-05-04 06:06:07,2024-07-14T04:30:41.013Z
C76,shane wolf,M,north carolina,29,True,2017-11-16 06:25:11,2024-07-14T04:30:41.014Z
C77,theresa wright,F,pennsylvania,64,False,2017-06-07 06:51:39,2024-07-14T04:30:41.015Z
C78,jacqueline levy,F,new jersey,19,False,2019-03-27 12:07:30,2024-07-14T04:30:41.017Z
C79,heather campbell,F,maryland,63,False,2018-05-14 19:57:46,2024-07-14T04:30:41.018Z
C80,jennifer mason,F,kansas,47,True,2019-10-20 19:52:01,2024-07-14T04:30:41.020Z
C81,richard pearson,M,montana,69,True,2017-09-27 17:50:01,2024-07-14T04:30:41.021Z
C82,stephanie manning,F,georgia,86,True,2018-10-10 01:55:53,2024-07-14T04:30:41.023Z
C83,lauren reyes,F,connecticut,82,True,2018-10-19 12:01:04,2024-07-14T04:30:41.025Z
C84,tracy valentine,F,rhode island,25,True,2019-12-27 15:21:47,2024-07-14T04:30:41.026Z
